light_quantile,cells,avg_light,avg_noise_count,high_risk_ratio
Very Low,679,18.152804401731984,23.92636229749632,0.5891016200294551
Low,678,35.94285711215309,126.3244837758112,4.71976401179941
Medium,679,47.1401965853392,424.37849779086895,13.991163475699558
High,678,61.75228775497031,472.53244837758115,36.283185840707965
Very High,679,103.46894231917054,615.1944035346097,44.918998527245954
