cell_id,night_light_avg
6220,
6221,23.85033416748047
6409,
6315,29.749666213989258
6222,19.38016700744629
6410,33.882080078125
6504,26.307832717895508
6598,
6316,29.554166793823242
6411,26.17216682434082
6317,
6224,
6225,4.0991668701171875
5465,
5748,
5654,
5749,8.991167068481445
5843,11.55666732788086
5655,6.880166530609131
5750,12.08883285522461
5844,17.57699966430664
5371,
5372,25.41950035095215
5466,22.65416717529297
5560,14.784333229064941
5467,19.275667190551758
5373,18.99449920654297
5561,10.499750137329102
5937,
5938,17.16283416748047
6126,13.038666725158691
5659,
5847,15.119916915893555
5753,9.458666801452637
6032,14.078332901000977
6127,13.585583686828613
6033,
5941,
5660,
5848,15.143667221069336
5754,11.621000289916992
5661,16.483999252319336
5849,14.697583198547363
5755,13.593667030334473
5662,13.92549991607666
5850,20.20549964904785
5756,15.173832893371582
5663,9.403666496276855
5378,11.423832893371582
5567,10.077333450317383
5379,
5473,9.876999855041504
5380,10.886500358581543
5568,12.132499694824219
5474,9.20616626739502
5381,8.918499946594238
7164,
7165,54.70499801635742
7353,35.71183395385742
7259,45.306331634521484
7260,50.74116516113281
7354,49.269832611083984
7166,42.22216796875
7355,31.98150062561035
7447,
7542,40.05350112915039
7636,30.387666702270508
7448,49.16866683959961
7637,39.719417572021484
6787,
6788,42.57833480834961
6976,39.472999572753906
6882,42.080501556396484
7070,34.95633316040039
6977,40.94350051879883
6883,
6505,26.346332550048828
6693,40.24241638183594
6599,39.190834045410156
6694,37.81516647338867
6696,4.05916690826416
7071,56.82783508300781
7072,34.483333587646484
6791,7.765999794006348
6885,12.489333152770996
6415,
6227,
6321,3.8429999351501465
6228,3.930333375930786
6322,3.8889999389648438
6417,3.7776665687561035
6602,3.8496665954589844
6697,4.282833099365234
6699,3.7016665935516357
6511,3.7386667728424072
6886,14.419333457946777
6980,7.546000003814697
7074,
6887,14.505666732788086
6981,14.296000480651855
6982,11.10183334350586
6888,11.582666397094727
6512,3.5876667499542236
6606,3.4005000591278076
6701,4.468250274658203
6513,
6702,5.047666549682617
6323,
6324,4.016166687011719
6418,3.8450000286102295
6325,4.084833145141602
6232,
6326,
6795,7.734333515167236
6889,9.6448335647583
6983,7.77133321762085
7078,
6890,5.992833137512207
6984,4.7499165534973145
6796,6.255000114440918
6891,5.5851664543151855
6233,5.18316650390625
6327,5.023833274841309
6421,4.7291669845581055
6328,5.3125
6422,4.988666534423828
6423,5.442333221435547
6329,
6130,4.319000244140625
5942,12.342833518981934
5943,15.026333808898926
6131,4.236833572387695
5944,
5851,17.06458282470703
5757,15.087666511535645
5852,9.332250595092773
5758,10.227499961853027
5664,9.674666404724121
5665,11.002166748046875
5759,
5760,9.270833015441895
5945,
5475,12.239333152770996
5569,14.131000518798828
5382,14.3211669921875
5476,21.50550079345703
5570,17.5625
5383,34.541831970214844
5571,21.4858341217041
5477,30.947500228881836
5384,85.06316375732422
5478,56.21983337402344
6043,
6138,4.9292497634887695
6044,5.424166679382324
6139,5.757166862487793
6045,
5666,17.538166046142578
5667,19.928333282470703
5668,18.145999908447266
5763,14.546667098999023
5669,17.886333465576172
5572,
5385,56.016666412353516
5479,55.2066650390625
5573,42.61616516113281
5386,44.96083450317383
5480,46.753082275390625
5574,38.75983428955078
5387,45.826499938964844
5481,37.02299880981445
5575,
5953,
5954,21.445667266845703
6048,12.489832878112793
5955,27.642499923706055
5388,56.803165435791016
5482,30.18400001525879
5576,28.62416648864746
5389,61.07516860961914
5483,42.47591781616211
5577,32.18433380126953
5390,58.4015007019043
5484,46.1995849609375
5578,39.91116714477539
5391,73.83200073242188
5858,28.88483238220215
5764,31.720748901367188
5670,25.53783416748047
5859,39.87083435058594
5765,48.98774719238281
5671,35.397666931152344
5672,41.9821662902832
5766,42.98750305175781
5860,32.54899978637695
5673,48.76300048828125
188,22.01849937438965
94,14.095333099365234
1,19.52833366394043
189,32.61458206176758
283,26.10333251953125
95,24.708499908447266
2,22.948333740234375
190,37.1058349609375
471,13.431833267211914
377,21.054000854492188
472,24.115581512451172
378,27.159500122070312
566,19.82466697692871
473,23.284915924072266
660,
661,13.683666229248047
284,32.323665618896484
96,28.499000549316406
3,24.432832717895508
191,37.62725067138672
285,32.44066619873047
97,28.32466697692871
286,37.69466781616211
192,39.053749084472656
98,
379,23.341833114624023
567,21.417667388916016
474,15.781083106994629
380,24.730833053588867
568,14.819666862487793
381,36.924835205078125
569,23.779499053955078
475,24.924415588378906
476,36.731998443603516
570,32.106834411621094
755,
850,22.11425018310547
662,15.764833450317383
756,19.48466682434082
851,21.27633285522461
663,24.68600082397461
757,22.537500381469727
852,24.54708480834961
664,29.290666580200195
193,44.94583511352539
287,47.708831787109375
194,42.40924835205078
288,66.41133117675781
382,59.10100173950195
383,60.17850112915039
477,35.4119987487793
571,27.878334045410156
572,22.100500106811523
478,25.67208480834961
384,33.46033477783203
385,16.8973331451416
479,22.57900047302246
573,27.908666610717773
758,25.023834228515625
665,24.998666763305664
853,28.320499420166016
759,26.980751037597656
854,29.44700050354004
666,20.97833251953125
760,26.858665466308594
855,29.615999221801758
667,27.310333251953125
761,29.272335052490234
289,69.67416381835938
195,53.301666259765625
290,41.229000091552734
196,39.243499755859375
291,23.523666381835938
197,26.675750732421875
1794,7.552500247955322
1888,5.282833099365234
1983,
1227,14.186833381652832
1322,15.582666397094727
1228,18.75316619873047
943,13.457499504089355
944,21.76449966430664
1038,14.738499641418457
1133,12.577917098999023
945,18.7016658782959
1039,13.54949951171875
1134,16.18899917602539
946,18.775999069213867
1511,20.071332931518555
1606,24.420499801635742
1512,26.849166870117188
1607,28.60533332824707
1701,27.900917053222656
1513,30.21666717529297
1323,16.14150047302246
1417,21.235000610351562
1229,15.14050006866455
1324,17.789499282836914
1230,16.209333419799805
1418,24.232418060302734
1231,26.398000717163086
1419,28.863250732421875
1325,25.76183319091797
1040,14.537666320800781
1041,23.614500045776367
1135,15.446582794189453
947,24.663665771484375
1136,20.059083938598633
948,31.093666076660156
1042,32.954833984375
1137,28.467666625976562
