cell_id,centroid_lat,centroid_lon,noise_night_count,peak_hour
6220,40.567814176615336,-73.8633854344199,0,-1
6221,40.570936971095136,-73.86290345648274,24,22
6409,40.572043518203415,-73.85163898467623,5,22
6315,40.571136659746,-73.85722052033628,32,22
6222,40.574785481300985,-73.86229108601579,14,22
6410,40.57532363715472,-73.85101466999109,80,22
6504,40.57548328133835,-73.845305797914,60,23
6598,40.57637159523275,-73.83973031894219,33,0
6316,40.575382237432585,-73.85692092959354,29,23
6411,40.57968388573443,-73.85079458973082,31,22
6317,40.578696692550345,-73.85588923300651,3,0
6224,40.58526216615572,-73.86398135109279,0,-1
6225,40.58870166634346,-73.86374189826704,0,-1
5465,40.5547645033624,-73.91124878497565,0,-1
5748,40.55894943240529,-73.89307164801609,0,-1
5654,40.55844733552779,-73.8986626627196,0,-1
5749,40.562216658040825,-73.8925816098078,0,-1
5843,40.56222288252529,-73.88674230291987,0,-1
5655,40.562029561620484,-73.89825414108242,0,-1
5750,40.56630128200362,-73.89237497563539,0,-1
5844,40.56632651954241,-73.88654798739309,6,2
5371,40.5537643184057,-73.91662914888428,0,-1
5372,40.55793703165627,-73.91627511433059,3,0
5466,40.5578814856006,-73.91037026849406,16,23
5560,40.55815728441348,-73.9046536660986,0,-1
5467,40.56224106829279,-73.91045803504291,4,23
5373,40.56195787143877,-73.91582732767534,1,1
5561,40.5615333561624,-73.90433203144113,0,-1
5937,40.56286604277858,-73.88107213134087,0,-1
5938,40.566494086525445,-73.88065491766991,0,-1
6126,40.567027368209246,-73.86916895395377,0,-1
5659,40.5803663716722,-73.89600154432864,0,-1
5847,40.58036475562383,-73.88648106768092,1,22
5753,40.58023110559321,-73.89228456011278,0,-1
6032,40.566550203195035,-73.87479215599846,1,4
6127,40.57079336082332,-73.86859545938142,0,-1
6033,40.56972427718411,-73.87367959436419,0,-1
5941,40.58101348354877,-73.88139007698999,0,-1
5660,40.585127786370954,-73.89642892285603,0,-1
5848,40.58467790158676,-73.88630310163768,0,-1
5754,40.58473470839387,-73.89221025574156,0,-1
5661,40.58943349485354,-73.89789205787189,0,-1
5849,40.589181491773395,-73.88622838436953,0,-1
5755,40.589238307559306,-73.89213593458281,0,-1
5662,40.59379842575151,-73.89796955984048,0,-1
5850,40.593685078323524,-73.88615365022011,0,-1
5756,40.59374190308942,-73.8920615966322,0,-1
5663,40.59830202657965,-73.89789560138637,0,-1
5378,40.58450819797953,-73.91584840985361,6,22
5567,40.58950195051586,-73.90394604617863,0,-1
5379,40.58951928853637,-73.91696749294424,0,-1
5473,40.58938976554348,-73.90930567080109,0,-1
5380,40.594058707377236,-73.91569174741691,0,-1
5568,40.59385464630728,-73.90387753975536,0,-1
5474,40.593984568869224,-73.90948743548469,0,-1
5381,40.59853965681052,-73.91546608459414,0,-1
7164,40.58548807082659,-73.80407200123864,1,23
7165,40.58835435630507,-73.80352449461809,85,22
7353,40.588827813420124,-73.7918567455498,55,22
7259,40.588374958993285,-73.79768804698512,47,1
7260,40.59279645610878,-73.797536530414,200,22
7354,40.59271849886814,-73.79163988085776,131,22
7166,40.592748311390686,-73.80332018774364,20,0
7355,40.59723407546253,-73.79223439027245,211,23
7447,40.58930922434555,-73.786093766243,15,23
7542,40.592610575699524,-73.7798135889357,73,22
7636,40.59259844979572,-73.77394595142803,175,0
7448,40.592672837893616,-73.78572121771847,1046,0
7637,40.59678632397231,-73.77404891751794,228,22
6787,40.580600395032214,-73.82766366298515,173,23
6788,40.583883696156306,-73.82695343013548,2,22
6976,40.584516416380794,-73.81566213618946,295,22
6882,40.58404556032094,-73.82134053880777,645,23
7070,40.58502638560387,-73.80966254808837,34,2
6977,40.58816123193416,-73.81501747198861,273,23
6883,40.58694610390301,-73.820855909982,1,1
6505,40.57962629749599,-73.84506501657543,55,22
6693,40.579874310622984,-73.83340253479238,415,22
6599,40.57966639309877,-73.83909004810991,214,22
6694,40.582821244836815,-73.83267823663992,0,-1
6696,40.59313671911371,-73.83392570911256,0,-1
7071,40.5884154006077,-73.80943180035366,525,22
7072,40.592162901087285,-73.80864027876787,3,23
6791,40.59688382579592,-73.82683764536898,0,-1
6885,40.59776499120927,-73.82173262362916,1,23
6415,40.59871407975269,-73.85257054061002,0,-1
6227,40.59877132855222,-73.86090076886742,0,-1
6321,40.59821323315079,-73.8566003369904,0,-1
6228,40.60118584769176,-73.86110172102153,0,-1
6322,40.60102224867266,-73.85665899856805,0,-1
6417,40.60706896162013,-73.84949833412877,0,-1
6602,40.59344810740834,-73.8386053152252,0,-1
6697,40.596463819461206,-73.83203668939245,0,-1
6699,40.60733422513969,-73.83314930854553,0,-1
6511,40.6068776347422,-73.8446569905779,0,-1
6886,40.60202321045572,-73.82074070932087,23,23
6980,40.60215034187835,-73.81389513227512,0,-1
7074,40.601326260430184,-73.8111392684444,0,-1
6887,40.606263477684266,-73.82000561222361,34,22
