cell_id,centroid_lat,centroid_lon,noise_night_count,peak_hour,night_light_avg,high_noise_risk,noise_night_count_log1p
6220,40.567814176615336,-73.8633854344199,0,-1,46.96549987792969,0,0.0
6221,40.570936971095136,-73.86290345648274,24,22,23.85033416748047,0,3.2188758248682006
6409,40.572043518203415,-73.85163898467623,5,22,46.96549987792969,0,1.791759469228055
6315,40.571136659746,-73.85722052033628,32,22,29.749666213989254,0,3.4965075614664802
6222,40.574785481300985,-73.86229108601579,14,22,19.38016700744629,0,2.70805020110221
6410,40.57532363715472,-73.85101466999109,80,22,33.882080078125,0,4.394449154672439
6504,40.57548328133835,-73.845305797914,60,23,26.307832717895508,0,4.110873864173311
6598,40.57637159523275,-73.83973031894219,33,0,46.96549987792969,0,3.5263605246161616
6316,40.575382237432585,-73.85692092959354,29,23,29.55416679382324,0,3.4011973816621555
6411,40.57968388573443,-73.85079458973082,31,22,26.17216682434082,0,3.4657359027997265
6317,40.578696692550345,-73.85588923300651,3,0,46.96549987792969,0,1.3862943611198906
6224,40.58526216615572,-73.86398135109279,0,-1,46.96549987792969,0,0.0
6225,40.58870166634346,-73.86374189826704,0,-1,4.099166870117188,0,0.0
5465,40.5547645033624,-73.91124878497565,0,-1,46.96549987792969,0,0.0
5748,40.55894943240529,-73.89307164801609,0,-1,46.96549987792969,0,0.0
5654,40.55844733552779,-73.8986626627196,0,-1,46.96549987792969,0,0.0
5749,40.562216658040825,-73.8925816098078,0,-1,8.991167068481445,0,0.0
5843,40.56222288252529,-73.88674230291987,0,-1,11.55666732788086,0,0.0
5655,40.56202956162048,-73.89825414108242,0,-1,6.880166530609131,0,0.0
5750,40.56630128200362,-73.89237497563539,0,-1,12.08883285522461,0,0.0
5844,40.56632651954241,-73.88654798739309,6,2,17.57699966430664,0,1.9459101490553132
5371,40.5537643184057,-73.91662914888428,0,-1,46.96549987792969,0,0.0
5372,40.55793703165627,-73.91627511433059,3,0,25.41950035095215,0,1.3862943611198906
5466,40.5578814856006,-73.91037026849406,16,23,22.65416717529297,0,2.833213344056216
